var,Dim.1,Dim.2
marital_status__never_married,0.5310722227650752,-0.6465328682758953
household_cars__none,0.8274894254044723,-0.38266236507701273
accommodation_type__block_of_flats,0.5602488894999906,-0.6232056573740598
marital_status__married,-0.7894489098904587,0.3953787256514894
residence_in_uk__born_in_uk,-0.16405793662784968,0.8788970929226249
national_identity__other_only,0.20345385117689535,-0.8536779468295279
household_cars__two_or_more,-0.7942598852299481,0.34911309136566215
tenure__owned_outright,-0.5394187045503952,0.43511290419621323
ethnicity__white,-0.12246922734078705,0.7040292993705621
residence_in_uk__two_to_four_years,0.16204700051868665,-0.7306371769844191
religion__church_of_scotland,-0.2025705518981657,0.6537702481849837
travel_to_work__drive_in_car,-0.27546671696055997,0.6383930606243945
accommodation_type__detatched_house,-0.6923584344377527,0.2810233143424359
residence_in_uk__five_to_9_years,0.21025631241604636,-0.6749411638490985
age__25_34,0.22838335629578785,-0.6669217601700216
qualification__degree_or_above,-0.6425722307281523,-0.5305847640149143
qualification__no_qualifications,0.7473698430601696,0.42170564870889377
disability__not_limited,-0.7675206308230226,-0.4330436613389236
general_health__very_good,-0.7603390119339468,-0.3522304627514623
disability__limited_a_lot,0.7588680087208005,0.38299503169071386
general_health__fair,0.6675038323224699,0.39010201590943533
occupation__professional,-0.5914369598239337,-0.35818914514527606
general_health__bad,0.7406054440288669,0.2793024153308855
national_identity__scottish_only,0.36783577602120054,0.600097932104245
economic_activity__long_term_sick_or_disabled,0.7854511606229692,0.1428446189831761
tenure__social_rented,0.8049234722279498,0.04218734154696525
qualification__level_1_or_2,0.4951996261963572,0.3374289460262121
disability__limited_a_little,0.48137922819527296,0.3452663799298286
general_health__very_bad,0.562141023073465,0.21496964311695263
marital_status__divorced,0.544189659634174,0.19440610407340123
